City,State
Pune,Maharashtra
New Delhi,New Delhi
Bangalore,Karnataka
Amritsar,Punjab
Ahmedabad,Gujarat
Panaji,Goa
Mumbai,Maharashtra
Dabolim,Goa
Madgaon,Goa
Kozhikode,Kerala
Kochi,Kerala
Hyderabad,Telengana
Jaipur,Rajasthan
Varanasi,Uttar Pradesh
Lucknow,Uttar Pradesh
Noida,Uttar Pradesh
Shrinagar,Jammu and Kashmir
Jammu,Jammu and Kashmir
Solapur,Maharashtra
Indore,Madhya Pradesh
Paharganj,New Delhi
Anantnag,Jammu and Kashmir
Kota,Rajasthan
Udaipur,Rajasthan
Jodhpur,Rajasthan
Jaisalmer,Rajasthan
Ranthambore,Rajasthan
Gir,Gujarat
Somnath,Gujarat
Calangute,Goa
Anjuna,Goa
Canacone,Goa
Bardez Taluka,Goa
Bainguinim,Goa
Agra,Uttar Pradesh
Mysore,Karnataka
Ajanta,Maharashtra
Mahabaleshwar,Maharashtra
Aurangabad,Maharashtra
Shimla,Himachal Pradesh
Haridwar,Uttarakhand
Ooty,Tamil Nadu
Rameshwaram,Tamil Nadu
Madurai,Tamil Nadu
Kanchipuram,Tamil Nadu
Kodaikanal,Tamil Nadu
Mahabalipuram,Tamil Nadu
Kanyakumari,Tamil Nadu
Thanjavur,Tamil Nadu
Tirupati,Andhra Pradesh
Port Blair,Andaman and Nicobar Islands
Ferrargunj,Andaman and Nicobar Islands
Swaraj Dweep Island,Andaman and Nicobar Islands
Andamans Bird Island,Andaman and Nicobar Islands
Munnar,Kerala
Alleppey,Kerala
Kumarakom,Kerala
Kovalam,Kerala
Thekkady,Kerala
Sabarimala,Kerala
Athirapally,Kerala
Wayanad,Kerala
Manali,Himachal Pradesh
Dharamshala,Himachal Pradesh
Nainital,Uttarakhand
Rishikesh,Uttarakhand
Mussoorie,Uttarakhand
Darjeeling,West Bengal
Kolkata,West Bengal
Khulna,West Bengal
Konark,Odisha
Puri,Odisha
Pondicherry,Pondicherry
Hampi,Karnataka
Coorg,Karnataka
Chikmagalur,Karnataka
Nagarhole,Karnataka
Khajuraho,Madhya Pradesh
Bandhavgarh,Madhya Pradesh
Kaziranga,Assam
Barpeta,Assam
Guwahati,Assam
Bokakhat,Assam
Jorhat,Assam
Shillong,Meghalaya
Cherrapunji,Meghalaya
Mawsmai,Meghalaya
